class,precision,recall,f1-score,support
circle_ccw,1.0000,0.9934,0.9967,608
circle_cw,0.9918,0.9950,0.9934,605
pull,0.9843,0.9947,0.9895,568
push,1.0000,0.9883,0.9941,598
static,0.9830,1.0000,0.9914,405
swipe_down,0.9901,0.9885,0.9893,608
swipe_left,0.9917,0.9967,0.9942,599
swipe_right,0.9967,0.9917,0.9942,603
swipe_up,0.9934,0.9917,0.9925,603
wave,0.9950,0.9918,0.9934,608

accuracy,,,0.9929,5805
